Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Category,IMP_marker
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0.1397,,,,,0.8096,C1,
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0.2339,,,,,0.9692,C1,
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0,,,,,0,,,,,0.621,,,,,2.6575,,,,,5.4189,,,,,8.054,C1,
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0.313,,,,,1.4114,C1,
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0358,,,,,0.4698,,,,,2.5485,,,,,7.1958,,,,,12.7252,,,,,17.1065,,,,,20.5459,C1,
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0358,,,,,0.6048,,,,,3.4099,,,,,10.0546,,,,,18.5721,,,,,27.6093,,,,,36.9351,C1,
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0359,,,,,0.4555,,,,,2.3883,,,,,6.5144,,,,,11.2129,,,,,15.07,,,,,18.3667,C1,
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0359,,,,,0.7137,,,,,4.1711,,,,,12.2596,,,,,22.4104,,,,,32.5081,,,,,41.9272,C1,
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0287,,,,,0.8644,,,,,4.5355,,,,,9.5338,,,,,13.7968,,,,,19.4518,,,,,27.6656,C1,
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0287,,,,,0.8187,,,,,4.3497,,,,,9.1828,,,,,13.0756,,,,,17.7986,,,,,24.3533,C1,
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0287,,,,,1.6917,,,,,9.9892,,,,,23.7727,,,,,38.2277,,,,,48.8948,,,,,53.3744,C1,
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0287,,,,,0.7719,,,,,4.1218,,,,,8.8216,,,,,12.5133,,,,,16.5015,,,,,21.7177,C1,
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0287,,,,,1.0968,,,,,5.687,,,,,12.3423,,,,,19.3839,,,,,27.5233,,,,,34.5649,C1,
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0287,,,,,0.7366,,,,,3.9643,,,,,8.5888,,,,,12.2456,,,,,15.8389,,,,,19.9958,C2,
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0287,,,,,0.8898,,,,,4.6507,,,,,9.6682,,,,,13.6504,,,,,18.5176,,,,,24.8293,C1,
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,World,Secondary Energy|Hydrogen|Electricity,EJ/yr,0.0303,,,,,0.7464,,,,,3.8711,,,,,8.1091,,,,,11.1911,,,,,14.0951,,,,,17.1076,C1,
